Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_sites_tree_street_keeper,3857,34.3222898966393,29.4921539352243,35.7441793055401,33.2867806942601
govmap:layer_sites_trua,3857,34.3977911152103,29.5012463025659,35.8109244128926,33.2619777613105
govmap:layer_sites_wind_power_plant_test,3857,35.0058581647652,31.0847599081346,35.0347366237535,31.1060258585167
govmap:layer_sites_yishuvim_point,3857,34.2844965144406,29.5489002136448,35.8388486634772,33.2787391313666
govmap:layer_situr_ironi,3857,33.5544332194638,26.8152128299728,36.4469183420749,35.9539907728268
govmap:layer_skarim,3857,34.3654289614677,29.5266246139369,35.8383882133779,33.2630579275167
govmap:layer_slvm_sheet50,3857,34.2627821248984,29.4890772893216,35.9059616077159,33.3402625603133
govmap:layer_soec,3857,34.2669324104309,29.4879001526033,35.895331864711,33.334072176381
govmap:layer_soihistoryparcels,3857,34.269784627925,29.5377282735648,35.8383783808244,33.2845408403062
govmap:layer_soil_survey,3857,34.2660216441225,31.218096138801,35.6841460110186,33.2906069829747
govmap:layer_soil_types,3857,34.2699642308796,29.4954473739552,35.6842898026279,33.2904621823764
govmap:layer_speed_survey_2022,3857,33.0119608681744,26.0622558679267,33.0119835758899,26.0622662400299
govmap:layer_speedcamera,3857,33.0119450620533,26.0622493228616,33.0119992961488,26.062272360537
govmap:layer_sport,3857,33.1251921393787,26.6798482914623,43.537284439468,34.9827481759091
govmap:layer_springs,3857,33.4065635200745,26.822371295223,36.9804674963982,36.0721384651092
govmap:layer_stat_area_2022,3857,34.2674205836374,29.4905258624737,35.895383563039,33.335148102238
govmap:layer_statistic_areas,3857,34.2669324104309,29.4879001526033,35.895331864711,33.334072176381
govmap:layer_statistic_areas_2011,3857,34.2675352553905,29.4905654667426,35.8953392974056,33.3351365044021
govmap:layer_stores,3857,34.8816174217624,32.4014586509467,34.997381369187,32.5693233865768
govmap:layer_strat_2040_emp,3857,34.5392868839973,29.5596439781316,35.7752525068687,33.262850748358
govmap:layer_strat_2040_housing,3857,34.2799713814608,29.5321198293881,35.8154350995819,33.2900965835904
govmap:layer_strat_2040_nxtemp,3857,34.5392176510347,29.5455672549816,35.7752525068687,33.262850748358
govmap:layer_strat_border,3857,34.4467622632782,30.929177250752,35.8952977856737,33.3341239463445
govmap:layer_sub_gush,3857,34.2674205836374,29.5011231741435,35.7717940149903,33.2439784221397
govmap:layer_sub_gush_all,3857,34.2674205836374,29.4552661796714,35.8953835619697,33.3352376632434
govmap:layer_sub_gush_all_eng,3857,34.2674205836375,29.4552661796714,35.8953835619697,33.3352376632435
govmap:layer_sub_gush_all_shuma_new,3857,34.5838628464153,31.2231468219284,35.5440758911905,33.0012549048558
govmap:layer_sub_gush_all_shuma_new1,3857,34.5838628464153,31.2231468219284,35.5440758911905,33.0012549048558
govmap:layer_suburb_rehabilitation,3857,34.303939269157,29.5551770020591,35.6655466646202,33.2582902952236
govmap:layer_suburb_rehabilitation_buildings,3857,34.5903202157202,29.5562141655484,35.5779230096296,33.2186916964942
govmap:layer_sugsherut_shikumtifkudfizi,3857,34.6184723304026,30.6102020260963,35.2169992021529,31.6026770954831
govmap:layer_sugsherut_tifkudfizi,3857,34.6184723304026,31.0600266087593,35.0300828181312,31.3162286447392
govmap:layer_sugsherut_tifkudkognetivi,3857,34.6184723325819,30.6102020280849,35.2169992031722,31.3162286458501
govmap:layer_sugsherut_zrachum,3857,34.755694206441,30.61110880346,35.2128392835848,31.3886502427284
govmap:layer_surgeons,3857,34.5567372868333,29.5418386770531,35.7805962517356,33.2717186774768
govmap:layer_sviva_fire_frequency,3857,34.3735894611173,31.3256444766525,35.8952618853903,33.3208835045182
govmap:layer_sviva_major_veg,3857,34.2199798327923,29.4931767439569,35.8920089549272,33.2875034093072
govmap:layer_sviva_mitkanim,3857,33.0508550265029,26.7030555980995,37.0727427884096,36.0950678338229
govmap:layer_sviva_nitur_air,3857,34.5416193277373,29.5296126409588,35.4137342326129,32.91667669454
govmap:layer_sviva_nitur_mifal,3857,33.3312673851674,26.8124370493371,36.7800289971058,35.9632149723787
govmap:layer_svivafactories,3857,34.5356470820833,31.0254488580052,35.369619671383,32.7981492651138
govmap:layer_svivafactories2016,3857,33.4729976183493,27.03434742014,36.4570674549253,35.4610803577173
govmap:layer_svivafactories2017,3857,34.3768289886864,29.5623673014132,35.5532360845881,32.9330604764441
govmap:layer_svivanoiseday,3857,34.7292791381099,31.9391647738147,34.9206134190125,32.1121585749592
govmap:layer_svivanoisenight,3857,34.7292791381099,31.9391647738147,34.9206134190125,32.1121585749592
